name,code,area,biomed_users,nanotech,aerospace,national_economy,infor_tech,others,news_road,bad_road,art_road,family_road,volontiers_road,sport_road
Республика Адыгея,1,ЮФО,0,0,0,0,0,0,0,0,0,1197590,2370600,0
Республика Башкортостан,2,ПФО,9000000,15000000,1000000,34418200,2000000,0,2447061,26042000,22851257,1157163,28594400,12432463
Республика Бурятия,3,ДФО,0,0,0,0,0,450000,1250000,890000,2300000,301000,5500000,0
Республика Алтай,4,СФО,0,0,0,0,0,0,80000,250000,438648,250000,2033700,299031
Республика Дагестан,5,СКФО,0,0,0,0,0,0,1200000,2850000,2900000,0,3557750,2850000
Республика Ингушетия,6,СКФО,0,0,0,0,0,0,0,0,0,0,0,0
Кабардино-Балкарская Республика,7,СКФО,0,0,0,0,0,0,0,0,0,0,1398800,0
Республика Калмыкия,8,ЮФО,0,0,0,0,18600,0,4000,0,57070,3060,372000,250000
Карачаево-Черкесская Республика,9,СКФО,0,0,0,0,0,0,0,0,0,0,0,0
Республика Карелия,10,СЗФО,0,0,0,0,0,0,754000,200000,963000,150000,3958000,276000
Республика Коми,11,СЗФО,0,0,0,154758,0,80235,7720987,0,1542474,0,2321447,697493
Республика Марий Эл,12,ПФО,0,0,0,0,0,0,1021865,0,434190,30000,8415102,64138
Республика Мордовия,13,ПФО,900000,0,0,0,6560000,520000,553000,1936429,450000,65365542,6607400,15885174
Республика Саха (Якутия),14,ДФО,0,0,0,0,0,0,0,5018556,694268,0,5243970,0
Республика Северная Осетия - Алания,15,СКФО,0,0,0,0,0,2554770,0,0,7442946,0,0,0
Республика Татарстан,16,ПФО,0,0,0,4141600,16393650,7697300,19456250,47241550,202541370,60839400,26059800,1418314800
Республика Тыва,17,СФО,0,0,0,0,0,0,0,0,0,0,0,0
Удмуртская Республика,18,ПФО,0,0,0,2130000,292871,1328578,539765,950273,1782839,300000,6195394,1736535
Республика Хакасия,19,СФО,0,0,0,300000,0,621483,0,100000,1300000,0,146828,500000
Чеченская Республика,20,СКФО,0,0,0,0,0,0,0,0,0,0,0,0
Чувашская Республика,21,ПФО,0,0,0,0,0,150000,3462389,1872000,665507,355255,242090,4255400
Алтайский край,22,СФО,0,0,0,0,0,7176890,1006370,300000,2305420,210090,9589740,89320
Краснодарский край,23,ЮФО,0,0,0,0,0,2064229,796152,0,3649930,0,2601422,87564715
Красноярский край,24,СФО,0,0,0,3000,499060,656031,2271030,600,5116893,3000,16105512,1115919
Приморский край,25,ДФО,0,0,0,0,0,0,0,489100,1940000,100000,3648546,325000
Ставропольский край,26,СКФО,67000,451000,0,562000,7203482,0,54000,1012300,150000,30000,196000,302900
Хабаровский край,27,ДФО,0,0,0,0,0,0,0,0,5026329,20000,4054210,1890000
Амурская область,28,ДФО,0,0,0,0,0,0,0,0,580000,0,1450000,0
Архангельская область,29,СЗФО,0,0,0,0,0,0,5527921.5,11300,32938134.34,235500,6281793,3117100
Астраханская область,30,ЮФО,0,0,0,893804,0,353010,0,75000,5556009,0,410410,768250
Белгородская область,31,ЦФО,0,0,0,0,0,0,46000,0,0,0,0,0
Брянская область,32,ЦФО,0,0,0,0,403000,347000,290559,0,3495529,250000,7512250,422129
Владимирская область,33,ЦФО,0,0,0,0,0,0,0,1260300,139000,0,4500000,1464000
Волгоградская область,34,ЮФО,0,0,0,0,165270,372826,2308300,712700,2849513,350047,8700911,2002535
Вологодская область,35,СЗФО,0,0,0,1942000,0,504300,684961,2978935,5269057,5970968,37347047,4884126
Воронежская область,36,ЦФО,0,0,0,9179700,8434817,205973,623105,16519290,12219269,1405093,5373054,13652820
Ивановская область,37,ЦФО,0,0,0,0,1568893,0,0,113533,1000000,270000,680000,180000
Иркутская область,38,СФО,0,0,0,0,291600,4692700,40300,59375700,775914,200880206,18475170,2979983
Калининградская область,39,СЗФО,0,0,0,0,0,0,1290730,535000,10252021,0,10081648,1308393
Калужская область,40,ЦФО,0,0,0,0,0,0,0,275000,2857990,0,2200000,250000
Камчатский край,41,ДФО,0,0,0,0,52478,1081496,16000,1190000,9231905,66763759,4257064,10969666
Кемеровская область,42,СФО,0,0,0,0,0,300000,0,13362933,2440937,800000,455400,900000
Кировская область,43,ПФО,0,0,0,0,94120,0,0,45405,16709595,1163031,661460,17772
Костромская область,44,ЦФО,0,0,0,35000,0,0,40000,0,395937,65000,627600,52920
Курганская область,45,УФО,105000,30000,0,50000,245000,20820,110450,325000,250000,130000,440000,350000
Курская область,46,ЦФО,0,0,0,0,0,651260,138536,409101,3222430,50000,10806355,552450
Ленинградская область,47,СЗФО,0,0,0,0,38171844,168415554,850000,29778981,12807860,1500000,3700000,4965000
Липецкая область,48,ЦФО,0,0,0,0,1973235,0,168587,71370,4184385,192456,471043,2524446
Магаданская область,49,ДФО,0,0,0,0,400265,1061676,665100,1550900,2800000,100000,5536800,487998
Московская область,50,ЦФО,0,0,0,0,0,0,0,0,36900000,0,0,0
Мурманская область,51,СЗФО,0,0,0,0,642800,0,234000,1227124,136010,267800,26521206,701714062
Нижегородская область,52,ПФО,18653550,31515350,18091750,21556000,33352400,18091750,340000,0,1782800,199000,8751877,0
Новгородская область,53,СЗФО,0,2923,0,11503,5923,0,521147,170000,4955925,360942,4993310,4953000
Новосибирская область,54,СФО,0,0,0,0,0,0,7233500,2011800,50980000,970000,2939100,9674700
Омская область,55,СФО,14550,0,0,14499781,1660269,84990,52730,500000,7797835,44060,1793365,2805885
Оренбургская область,56,ПФО,0,0,0,0,0,7800,0,0,90400,79450,83059,0
Орловская область,57,ЦФО,0,0,0,0,116987,0,0,50000,2139957,56000,1976638,4736842
Пензенская область,58,ПФО,0,0,0,0,0,0,139500,100000,4755800,0,6405300,660044
Пермский край,59,ПФО,0,0,0,0,187435600,56279751,2450000,75239617,74018251,24399196,17014701,899992460
Псковская область,60,СЗФО,0,0,0,0,0,860000,0,50000,700000,250000,1000000,1750000
Ростовская область,61,ЮФО,0,0,0,5382000,0,0,1403100,949300,22434000,245000,21082900,1468000
Рязанская область,62,ЦФО,0,0,0,0,0,0,440000,0,0,0,0,0
Самарская область,63,ПФО,0,0,0,59577069,0,0,5787732,25000000,34194085,0,1034046,0
Саратовская область,64,ПФО,0,0,0,0,11454228,0,0,3509056,356052,0,1080000,762200
Сахалинская область,65,ДФО,0,0,0,61800,0,0,22759700,3742700,6712200,0,31434526,1593500
Свердловская область,66,УФО,0,1352760,0,13800000,2243600,5408915,0,5540140,3247500,3284740,8506550,16616482
Смоленская область,67,ЦФО,0,0,0,0,0,0,0,0,2319500,0,3384600,4369200
Тамбовская область,68,ЦФО,48000,94000,0,12000,142000,36000,0,1669396,178125,368959,2240000,18500650
Тверская область,69,ЦФО,0,0,0,314000,0,0,1270981,0,2085146,60306197,513134,1000000
Томская область,70,СФО,0,415300,0,0,1749000,4244306,0,3409915,5974351,0,5281654,3118680
Тульская область,71,ЦФО,0,0,0,0,1852486,0,424030,348461,6691711,150000,684925,1440837
Тюменская область,72,УФО,0,0,0,0,3266100,0,8082000,70212467,84296000,1000000,1497900,21137000
Ульяновская область,73,ПФО,0,0,0,0,0,1500000,0,0,5000000,0,9000000,1800000
Челябинская область,74,УФО,0,0,0,0,0,1051540,228450,0,9116315,179150,1244930,25141983
Забайкальский край,75,ДФО,0,0,0,0,12953000,0,0,2000000,20000,300000,391800,10000000
Ярославская область,76,ЦФО,0,0,0,0,0,0,1472430,1599680,3760586,4500544,6642494,3774146
Москва,77,ЦФО,0,0,0,0,0,0,6939258,0,0,0,17315700,1025220088
Санкт-Петербург,78,СЗФО,6385384,10171207,20000,1667722,6008560,43458222,9808637,50013261,362587654,61209333,73690297,225044149
Еврейская автономная область,79,ДФО,0,0,0,0,0,0,0,0,0,0,0,80600
Ханты-Мансийский автономный округ - Югра,86,УФО,0,760043,0,0,87250,32473,2626140,14000,9193624,35000,25000,3485042
Чукотский автономный округ,87,ДФО,0,0,0,0,3200000,550000,350000,0,450000,320000,5698455,881000
Ямало-Ненецкий автономный округ,89,УФО,0,0,0,0,8800000,2000000,3077000,9344699,34164027,3007000,24402188,48735000
Республика Крым,91,ЮФО,0,0,0,0,0,0,4073713,0,174567962,30000,24297440,10100552
Севастополь,92,ЮФО,0,0,0,0,0,2238754,1246478,181500,11033568,198835,3625028,17588688
"Иные территории, включая город и космодром Байконур",99,,0,0,0,0,0,0,0,0,0,0,0,0
Ненецкий автономный округ,83,СЗФО,0,0,0,0,0,810700,0,400000,2330350,0,1127600,2035379
