name,code,amount_grant,budget_grant_reg,budget_reg,budget2youth_reg,volontiers_amount_reg,area,uniq_users,budget_marketing,marketing_units,population,k_means_clust
Республика Адыгея,1,16,12560775,42406760245,12098864.0,54830,ЮФО,16087,0,81,1366592.0,0
Республика Башкортостан,2,357,323489366,120957272581,867797377.0,2680503,ПФО,343031,1323000,5104,13857253.0,1
Республика Бурятия,3,37,5603000,35541578365,15627183.0,119587,ДФО,16500,828050,4881,3469923.0,0
Республика Алтай,4,1,2561447,317463025886,13774825.0,108396,СФО,7010,350000,2649,634935.0,0
Республика Дагестан,5,30,4001300,217508658158,30818450.0,1112596,СКФО,47000,0,10288,9486402.0,0
Республика Ингушетия,6,0,5341738,50718517886,26242000.0,88640,СКФО,146,200000,752,1464853.0,0
Кабардино-Балкарская Республика,7,3,5400000,66768722665,10648805.0,227737,СКФО,27658,0,1285,2659221.0,0
Республика Калмыкия,8,0,0,27611933279,4166172.0,58176,ЮФО,19328,0,1462,863975.0,0
Карачаево-Черкесская Республика,9,0,0,44226840291,0.0,0,СКФО,16934,0,37256,1447165.0,0
Республика Карелия,10,43,50855477,83520055727,29243151.0,123578,СЗФО,5730,200000,2019,2103837.0,0
Республика Коми,11,17,12352577,116311450473,42247435.0,457419,СЗФО,83353,0,10028,2810038.0,0
Республика Марий Эл,12,33,1273640,54174619072,53890079.0,589076,ПФО,78645,1021865,7600,2165403.0,0
Республика Мордовия,13,598,108659054,77136807164,155471320.0,486718,ПФО,23300,782952,2718,2909425.0,3
Республика Саха (Якутия),14,43,50246441,348642854675,53121393.0,211893,ДФО,310282,150000,7959,3166854.0,0
Республика Северная Осетия - Алания,15,6,0,59020531825,49115116.0,160378,СКФО,14544,930465,1394,2544150.0,0
Республика Татарстан,16,5822,86190100,509401525040,2640689592.0,1512039,ПФО,653835,19456250,85482,13913153.0,2
Республика Тыва,17,18,1965000,60850983808,10393200.0,0,СФО,18044,0,1253,975935.0,0
Удмуртская Республика,18,103,78453478,128532698193,112388530.0,579278,ПФО,55478,0,2315,5199567.0,0
Республика Хакасия,19,16,1010000,61231151433,40780217.0,125636,СФО,190259,89000,9408,1627271.0,0
Чеченская Республика,20,0,0,142967108425,0.0,647884,СКФО,98,200000,449,4474246.0,0
Чувашская Республика,21,29,9952171,90091154170,22153442.0,613267,ПФО,756000,1050000,6420,4218373.0,0
Алтайский край,22,70,3396959,179318562029,88305867.0,721924,СФО,35000,1006370,2781,7805220.0,0
Краснодарский край,23,83,69457180,475705482929,272291060.0,6371277,ЮФО,22365,310194,9424,18578097.0,0
Красноярский край,24,630,34397747,430607587411,139385636.0,408162,СФО,27930,2271030,11128,8780145.0,0
Приморский край,25,51,2058720,223717993343,136070777.0,733305,ДФО,28850,36000,0,6481324.0,0
Ставропольский край,26,129,48351820,190691813219,39925385.0,2130735,СКФО,17819,552890,5592,9282461.0,0
Хабаровский край,27,60,21196118,186966806446,96846458.0,444149,ДФО,155950,1694500,1372,4858869.0,0
Амурская область,28,19,1631750,122332018677,28232222.0,504915,ДФО,5881,0,674,2511577.0,0
Архангельская область,29,240,38519129,144360211911,390833803.61,555090,СЗФО,18554,5000000,17839,3997438.0,3
Астраханская область,30,30,6083109,90289525559,47840987.0,669960,ЮФО,39500,0,13787,3700750.0,0
Белгородская область,31,66,6599414,161828789443,49709730.0,574214,ЦФО,13487,4600,2263,4906542.0,0
Брянская область,32,48,37589013,99241532325,33301398.0,328293,ЦФО,39348,1000000,37863,4413390.0,0
Владимирская область,33,64,2525140,105695633939,41282437.0,461584,ЦФО,14642,764907,1601,4994496.0,0
Волгоградская область,34,14,3367297,175842525051,320966920.0,1885208,ЮФО,96000,2308300,13077,9061533.0,3
Вологодская область,35,212,21583459,144097687272,128179137.0,663616,СЗФО,112804,684961,4832,3800559.0,0
Воронежская область,36,115,38114105,195302591619,131768346.0,1182050,ЦФО,21393,130000,15661,7417349.0,0
Ивановская область,37,34,2719060,71574608723,68627929.0,512486,ЦФО,745629,0,0,3731780.0,0
Иркутская область,38,367,61135181,295317123911,690197675.0,3186616,СФО,72349,499600,6339,8955663.0,3
Калининградская область,39,59,20220995,132389347296,243266471.0,252052,СЗФО,90346,900000,1162,3536130.0,3
Калужская область,40,0,0,103136556227,35725541.0,334973,ЦФО,52500,0,3353,3318475.0,0
Камчатский край,41,37,8763564,123093209100,231106713.0,193292,ДФО,0,1611218,763,1017328.0,3
Кемеровская область,42,45,105789158,357773528096,355522495.0,888729,СФО,5378611,0,2133,9700917.0,0
Кировская область,43,3,1473837,106076684758,41385014.0,1169812,ПФО,18648,0,3294,4717817.0,0
Костромская область,44,4,120000,58704325059,19107807.0,810331,ЦФО,68653,36000,8911,2049371.0,0
Курганская область,45,49,8837898,75352350444,23352132.0,274346,УФО,941718,0,3803,2764778.0,0
Курская область,46,92,16747000,108572953188,92531636.0,723038,ЦФО,5218,574751,5095,3495924.0,0
Ленинградская область,47,122,45205121,224422229938,861116508.0,947961,СЗФО,24706,1142377,4435,6369411.0,2
Липецкая область,48,87,60047311,100084967869,98191206.0,1562703,ЦФО,27385,263500,2092,4116765.0,0
Магаданская область,49,13,1458479,60281061254,208968098.0,213387,ДФО,1563,665100,2949,493135.0,2
Московская область,50,4,4000000,1061313871646,402104315.0,5790181,ЦФО,493,0,1282,24380946.0,0
Мурманская область,51,86,101693653,127712526878,791403566.0,785025,СЗФО,43104,0,1750,2704914.0,1
Нижегородская область,52,149,37764892,305318069097,486224079.0,2351349,ПФО,274397,340000,2825,11676859.0,3
Новгородская область,53,40,6071967,63753072560,42747103.0,496160,СЗФО,24471,503535,3322,2085958.0,0
Новосибирская область,54,166,40826755,306063154255,224178430.0,1606412,СФО,7925,857330,9228,8579764.0,0
Омская область,55,102,300633498,155185594345,161344099.0,1094162,СФО,41469,0,25542,6175617.0,3
Оренбургская область,56,42,86062611,161482687377,19531295.0,1556431,ПФО,10306,3478375,5072,6878464.0,0
Орловская область,57,6,1811500,59014992641,25980023.0,582168,ЦФО,0,0,0,2728751.0,0
Пензенская область,58,13,9581000,93789126896,32613382.0,592915,ПФО,158268,0,18206,4856393.0,0
Пермский край,59,290,157269458,231787849335,1952239563.0,1818598,ПФО,206203,3371199,4928,9541860.0,1
Псковская область,60,21,33208548,59982162555,23440704.0,267498,СЗФО,1618,2586500,0,2127225.0,0
Ростовская область,61,56,33203206,332623363434,128195279.0,1688753,ЮФО,43595,2486000,6744,14242043.0,0
Рязанская область,62,36,1889218,102945197074,3708060.0,547256,ЦФО,83220,2215108,14190,4145567.0,0
Самарская область,63,21,132857334,317387349695,362081057.0,980334,ПФО,188458,5787732,1421,11635517.0,3
Саратовская область,64,59,18379614,187964967418,80991399.0,954757,ПФО,133967,200000,14079,9344391.0,0
Сахалинская область,65,89,37410824,214725619864,201809516.0,453940,ДФО,91615,7930000,95337,1400393.0,0
Свердловская область,66,364,168753447,451529671589,846148576.0,4249668,УФО,328523,1940000,17112,14323231.0,3
Смоленская область,67,33,7954176,72157814562,30033327.0,516296,ЦФО,26430,340000,4603,3241805.0,0
Тамбовская область,68,284,54894456,75010717768,119468876.0,959479,ЦФО,3711,0,11935,3301975.0,3
